,time,ptg_cost,pth_cost,ptg_cost_real,pth_cost_real,ptg_cost1,pth_cost1
0,0,-13.30313693,-13.69087477,14.7333671,14.31610495,40.92601972,39.76695819
1,900,-14.11678825,-13.69087477,13.88417794,14.31610495,38.56716094,39.76695819
2,1800,-14.40338112,-13.69087477,13.60791597,14.31610495,37.79976658,39.76695819
3,2700,-14.06131128,-13.69087477,13.93895606,14.31610495,38.71932239,39.76695819
4,3600,-13.92533053,-13.71936662,14.07506985,14.28637381,39.09741625,39.68437169
5,4500,-14.04842947,-13.71936662,13.95173748,14.28637381,38.75482633,39.68437169
6,5400,-14.09108978,-13.71936662,13.90949906,14.28637381,38.63749739,39.68437169
7,6300,-14.02674573,-13.71936662,13.97330527,14.28637381,38.81473686,39.68437169
8,7200,-13.99691311,-13.8342708,14.00308757,14.16771457,38.89746547,39.35476269
9,8100,-14.01303643,-13.8342708,13.9869757,14.16771457,38.85271028,39.35476269
10,9000,-14.02100225,-13.8342708,13.97902921,14.16771457,38.83063669,39.35476269
11,9900,-14.00669657,-13.8342708,13.99330663,14.16771457,38.87029619,39.35476269
12,10800,-13.99669186,-13.98004383,14.00330892,14.01998466,38.89808033,38.94440183
13,11700,-13.9970721,-13.98004383,14.00292851,14.01998466,38.89702364,38.94440183
14,12600,-14.00205049,-13.98004383,13.99794981,14.01998466,38.88319392,38.94440183
15,13500,-13.99751172,-13.98004383,14.00248872,14.01998466,38.895802,38.94440183
16,14400,-13.99170502,-14.06867394,14.0082999,13.93166128,38.91194417,38.69905911
17,15300,-13.99049964,-14.06867394,14.00950681,13.93166128,38.91529669,38.69905911
18,16200,-13.99359326,-14.06867394,14.00640968,13.93166128,38.90669356,38.69905911
19,17100,-13.9916025,-14.06867394,14.00840254,13.93166128,38.91222928,38.69905911
20,18000,-13.9882223,-14.27897025,14.01178762,13.72648003,38.92163228,38.12911119
21,18900,-13.98771648,-14.27897025,14.01229431,13.72648003,38.92303975,38.12911119
22,19800,-13.99575474,-14.27897025,14.00424654,13.72648003,38.90068483,38.12911119
23,20700,-13.9943127,-14.27897025,14.00568961,13.72648003,38.90469336,38.12911119
24,21600,-13.98962713,-14.33997282,14.01038056,13.66808728,38.91772378,37.96690911
25,22500,-13.98908206,-14.33997282,14.01092646,13.66808728,38.91924017,37.96690911
26,23400,-13.99225617,-14.33997282,14.00774812,13.66808728,38.91041144,37.96690911
27,24300,-13.99148744,-14.33997282,14.00851774,13.66808728,38.91254928,37.96690911
28,25200,-13.98935133,-13.86323334,14.01065678,14.13811592,38.91849106,39.27254422
29,26100,-13.98769076,-13.86323334,14.01232007,14.13811592,38.92311131,39.27254422
30,27000,-13.9690616,-13.86323334,14.03100692,14.13811592,38.97501922,39.27254422
31,27900,-13.97002262,-13.86323334,14.03004171,14.13811592,38.97233808,39.27254422
32,28800,-13.97778773,-13.69087477,14.02224757,14.31610495,38.95068769,39.76695819
33,29700,-13.9773244,-13.69087477,14.02271238,14.31610495,38.95197883,39.76695819
34,30600,-13.96745956,-13.69087477,14.03261625,14.31610495,38.97948958,39.76695819
35,31500,-13.968163,-13.69087477,14.03190956,14.31610495,38.97752656,39.76695819
36,32400,-13.9725807,-13.66247568,14.02747311,14.34586268,38.96520308,39.84961856
37,33300,-13.97269139,-13.66247568,14.02736199,14.34586268,38.96489442,39.84961856
38,34200,-13.97013233,-13.66247568,14.02993153,14.34586268,38.97203203,39.84961856
39,35100,-13.97043706,-13.66247568,14.0296255,14.34586268,38.97118194,39.84961856
40,36000,-13.9717666,-13.77663045,14.02829045,14.22699119,38.96747347,39.51941997
41,36900,-13.97222986,-13.77663045,14.02782534,14.22699119,38.9661815,39.51941997
42,37800,-13.19529695,-13.77663045,14.85377713,14.22699119,41.26049203,39.51941997
43,38700,-13.5364443,-13.77663045,14.47943017,14.22699119,40.22063936,39.51941997
44,39600,-13.63569131,-13.98004383,14.37404203,14.01998466,39.92789453,38.94440183
45,40500,-13.59575298,-13.98004383,14.41626663,14.01998466,40.04518508,38.94440183
46,41400,-13.68345771,-13.98004383,14.32386492,14.01998466,39.78851367,38.94440183
47,42300,-13.74781007,-13.98004383,14.2568161,14.01998466,39.60226694,38.94440183
48,43200,-13.79628938,-14.06867394,14.20671853,13.93166128,39.46310703,38.69905911
49,44100,-13.8337031,-14.06867394,14.16829598,13.93166128,39.35637772,38.69905911
50,45000,-13.86283436,-14.06867394,14.13852282,13.93166128,39.2736745,38.69905911
51,45900,-13.88576131,-14.06867394,14.11517853,13.93166128,39.20882925,38.69905911
52,46800,-13.90395461,-14.2183794,14.09670885,13.78497468,39.15752458,38.29159633
53,47700,-13.9187776,-14.2183794,14.08169637,13.78497468,39.11582325,38.29159633
54,48600,-13.93067276,-14.2183794,14.06967226,13.78497468,39.08242294,38.29159633
55,49500,-13.94025727,-14.2183794,14.05999877,13.78497468,39.05555214,38.29159633
56,50400,-13.94800502,-14.2183794,14.05218881,13.78497468,39.03385781,38.29159633
57,51300,-13.95428427,-14.2183794,14.0458655,13.78497468,39.01629306,38.29159633
58,52200,-13.95938397,-14.2183794,14.04073421,13.78497468,39.00203947,38.29159633
59,53100,-13.96353267,-14.2183794,14.03656257,13.78497468,38.99045158,38.29159633
60,54000,-13.96691232,-14.09841475,14.03316607,13.90227224,38.98101686,38.61742289
61,54900,-13.96944489,-14.09841475,14.03062194,13.90227224,38.97394983,38.61742289
62,55800,-13.97151249,-14.09841475,14.02854559,13.90227224,38.96818219,38.61742289
63,56700,-13.97320162,-14.09841475,14.02684977,13.90227224,38.96347158,38.61742289
64,57600,-13.97458232,-13.98004383,14.02546391,14.01998466,38.95962197,38.94440183
65,58500,-14.19091908,-13.98004383,13.81164947,14.01998466,38.36569297,38.94440183
66,59400,-14.89309025,-13.98004383,13.16046547,14.01998466,36.55684853,38.94440183
67,60300,-14.66638782,-13.98004383,13.36389044,14.01998466,37.12191789,38.94440183
68,61200,-14.24079975,-13.80540333,13.76327197,14.19733965,38.23131103,39.43705458
69,62100,-14.26722896,-13.80540333,13.73777631,14.19733965,38.16048975,39.43705458
70,63000,-14.39546675,-13.80540333,13.61539736,14.19733965,37.82054822,39.43705458
71,63900,-14.31922815,-13.80540333,13.68788861,14.19733965,38.02191281,39.43705458
72,64800,-14.20201069,-13.7479517,13.80086273,14.25666923,38.33572981,39.60185897
73,65700,-14.18627208,-13.7479517,13.81617376,14.25666923,38.37826044,39.60185897
74,66600,-14.19140311,-13.7479517,13.81117839,14.25666923,38.36438442,39.60185897
75,67500,-14.15740845,-13.7479517,13.84434169,14.25666923,38.45650469,39.60185897
76,68400,-14.11879659,-13.71936662,13.88220298,14.28637381,38.56167494,39.68437169
77,69300,-14.10154669,-13.71936662,13.89918456,14.28637381,38.608846,39.68437169
78,70200,-14.08899465,-13.71936662,13.91156749,14.28637381,38.64324303,39.68437169
79,71100,-14.07183585,-13.71936662,13.92853087,14.28637381,38.69036353,39.68437169
80,72000,-14.05579739,-13.66247568,13.94442411,14.34586268,38.73451142,39.84961856
81,72900,-14.04433717,-13.66247568,13.9558028,14.34586268,38.76611889,39.84961856
82,73800,-14.03275612,-13.66247568,13.96732034,14.34586268,38.79811206,39.84961856
83,74700,-14.0237804,-13.66247568,13.97625993,14.34586268,38.82294425,39.84961856
84,75600,-14.0167546,-13.60595409,13.98326543,14.40545799,38.84240397,40.01516108
85,76500,-14.01016995,-13.60595409,13.98983743,14.40545799,38.86065953,40.01516108
86,77400,-14.00207359,-13.60595409,13.99792672,14.40545799,38.88312978,40.01516108
87,78300,-13.99742519,-13.60595409,14.00257528,14.40545799,38.89604244,40.01516108
88,79200,-13.99446228,-13.57783071,14.00553991,14.43529561,38.90427753,40.09804336
89,80100,-13.99095131,-13.57783071,14.00905454,14.43529561,38.91404039,40.09804336
90,81000,-13.9864551,-13.57783071,14.01355801,14.43529561,38.92655003,40.09804336
91,81900,-13.98405315,-13.57783071,14.01596503,14.43529561,38.93323619,40.09804336
92,82800,-13.98262244,-13.54979838,14.01739915,14.46515988,38.93721986,40.18099967
93,83700,-13.98076547,-13.54979838,14.01926099,14.46515988,38.94239164,40.18099967
94,84600,-13.97783971,-13.54979838,14.02219542,14.46515988,38.95054283,40.18099967
95,85500,-13.97664753,-13.54979838,14.02339148,14.46515988,38.95386522,40.18099967
96,86400,-13.97618229,-14.2183794,14.0238583,13.78497468,38.95516194,38.29159633
