"time","electrolyser_detailed1.Pelec"
0,49
1,48.4569
1,48.4569
1,48.4569
2,48.2267
2,48.2267
2,48.2267
3,47.9809
3,47.9809
3,47.9809
4,47.8418
4,47.8418
4,47.8418
5,47.5092
5,47.5092
5,47.5092
6,47.4237
6,47.4237
6,47.4237
7,48.2036
7,48.2036
7,48.2036
8,48.4731
8,48.4731
8,48.4731
9,48.5073
9,48.5073
9,48.5073
10,48.3087
10,48.3087
10,48.3087
11,47.9742
11,47.9742
11,47.9742
12,47.8401
12,47.8401
12,47.8401
13,47.6054
13,47.6054
13,47.6054
14,47.6142
14,47.6142
14,47.6142
15,47.8101
15,47.8101
15,47.8101
16,47.9988
16,47.9988
16,47.9988
17,48.282
17,48.282
17,48.282
18,48.3685
18,48.3685
18,48.3685
19,48.4112
19,48.4112
19,48.4112
20,48.5047
20,48.5047
20,48.5047
21,48.5982
21,48.5982
21,48.5982
22,48.6428
22,48.6428
22,48.6428
23,48.6887
23,48.6887
23,48.6887
24,47.5748
24,47.5748
24,47.5748
25,47.5089
25,47.5089
25,47.5089
26,47.5204
26,47.5204
26,47.5204
27,47.5719
27,47.5719
27,47.5719
28,47.5714
28,47.5714
28,47.5714
29,47.4263
29,47.4263
29,47.4263
30,47.3335
30,47.3335
30,47.3335
31,47.3857
31,47.3857
31,47.3857
32,47.289
32,47.289
32,47.289
33,47.2432
33,47.2432
33,47.2432
34,47.2934
34,47.2934
34,47.2934
35,47.2445
35,47.2445
35,47.2445
36,47.3906
36,47.3906
36,47.3906
37,47.0968
37,47.0968
37,47.0968
38,47.0071
38,47.0071
38,47.0071
39,47.0119
39,47.0119
39,47.0119
40,47.2548
40,47.2548
40,47.2548
41,47.3453
41,47.3453
41,47.3453
42,47.8244
42,47.8244
42,47.8244
43,48.2931
43,48.2931
43,48.2931
44,48.4199
44,48.4199
44,48.4199
45,48.6038
45,48.6038
45,48.6038
46,48.9346
46,48.9346
46,48.9346
47,49.2613
47,49.2613
47,49.2613
48,49.1516
48,49.1516
48,49.1516
49,49.054
49,49.054
49,49.054
50,49.298
50,49.298
50,49.298
51,49.2439
51,49.2439
51,49.2439
52,49.34
52,49.34
52,49.34
53,49.3372
53,49.3372
53,49.3372
54,49.143
54,49.143
54,49.143
55,48.7614
55,48.7614
55,48.7614
56,47.8555
56,47.8555
56,47.8555
57,47.2564
57,47.2564
57,47.2564
58,46.2191
58,46.2191
58,46.2191
59,46.8358
59,46.8358
59,46.8358
60,45.7671
60,45.7671
60,45.7671
61,45.3112
61,45.3112
61,45.3112
62,45.7193
62,45.7193
62,45.7193
63,45.0868
63,45.0868
63,45.0868
64,44.8125
64,44.8125
64,44.8125
65,44.9214
65,44.9214
65,44.9214
66,44.8261
66,44.8261
66,44.8261
67,45.0707
67,45.0707
67,45.0707
68,45.3549
68,45.3549
68,45.3549
69,45.974
69,45.974
69,45.974
70,46.4372
70,46.4372
70,46.4372
71,46.4658
71,46.4658
71,46.4658
72,43.8031
72,43.8031
72,43.8031
73,43.6777
73,43.6777
73,43.6777
74,43.8974
74,43.8974
74,43.8974
75,44.19
75,44.19
75,44.19
76,44.4244
76,44.4244
76,44.4244
77,44.6574
77,44.6574
77,44.6574
78,44.6964
78,44.6964
78,44.6964
79,44.0159
79,44.0159
79,44.0159
80,43.3083
80,43.3083
80,43.3083
81,42.3186
81,42.3186
81,42.3186
82,41.2421
82,41.2421
82,41.2421
83,40.219
83,40.219
83,40.219
84,40.7885
84,40.7885
84,40.7885
85,41.0295
85,41.0295
85,41.0295
86,40.3467
86,40.3467
86,40.3467
87,40.4581
87,40.4581
87,40.4581
88,39.9605
88,39.9605
88,39.9605
89,39.9531
89,39.9531
89,39.9531
90,39.9498
90,39.9498
90,39.9498
91,39.9535
91,39.9535
91,39.9535
92,39.9609
92,39.9609
92,39.9609
93,39.9698
93,39.9698
93,39.9698
94,40.0315
94,40.0315
94,40.0315
95,40.3778
95,40.3778
95,40.3778
96,43.0806
96,43.0806
96,43.0806
97,42.9558
97,42.9558
97,42.9558
98,43.0786
98,43.0786
98,43.0786
99,43.0205
99,43.0205
99,43.0205
100,43.1152
100,43.1152
100,43.1152
101,43.2571
101,43.2571
101,43.2571
102,43.2524
102,43.2524
102,43.2524
103,43.6376
103,43.6376
103,43.6376
104,43.1919
104,43.1919
104,43.1919
105,42.9103
105,42.9103
105,42.9103
106,42.6791
106,42.6791
106,42.6791
107,42.2538
107,42.2538
107,42.2538
108,42.1232
108,42.1232
108,42.1232
109,43.4365
109,43.4365
109,43.4365
110,42.2446
110,42.2446
110,42.2446
111,41.4927
111,41.4927
111,41.4927
112,41.4705
112,41.4705
112,41.4705
113,41.4319
113,41.4319
113,41.4319
114,41.6292
114,41.6292
114,41.6292
115,41.9637
115,41.9637
115,41.9637
116,42.4368
116,42.4368
116,42.4368
117,42.8075
117,42.8075
117,42.8075
118,42.7922
118,42.7922
118,42.7922
119,42.8356
119,42.8356
119,42.8356
120,44.1873
120,44.1873
120,44.1873
121,44.1974
121,44.1974
121,44.1974
122,44.233
122,44.233
122,44.233
123,44.2282
123,44.2282
123,44.2282
124,44.2749
124,44.2749
124,44.2749
125,44.3216
125,44.3216
125,44.3216
126,44.2716
126,44.2716
126,44.2716
127,44.3205
127,44.3205
127,44.3205
128,44.3196
128,44.3196
128,44.3196
129,44.3192
129,44.3192
129,44.3192
130,44.1742
130,44.1742
130,44.1742
131,44.1297
131,44.1297
131,44.1297
132,43.3593
132,43.3593
132,43.3593
133,43.8154
133,43.8154
133,43.8154
134,43.2789
134,43.2789
134,43.2789
135,42.7116
135,42.7116
135,42.7116
136,42.7307
136,42.7307
136,42.7307
137,43.075
137,43.075
137,43.075
138,42.9714
138,42.9714
138,42.9714
139,43.503
139,43.503
139,43.503
140,44.4076
140,44.4076
140,44.4076
141,44.668
141,44.668
141,44.668
142,45.2315
142,45.2315
142,45.2315
143,44.2446
143,44.2446
143,44.2446
144,48.4777
144,48.4777
144,48.4777
145,48.5036
145,48.5036
145,48.5036
146,48.8055
146,48.8055
146,48.8055
147,48.7377
147,48.7377
147,48.7377
148,48.782
148,48.782
148,48.782
149,48.2478
149,48.2478
149,48.2478
150,48.0688
150,48.0688
150,48.0688
151,47.885
151,47.885
151,47.885
152,48.0383
152,48.0383
152,48.0383
153,47.7465
153,47.7465
153,47.7465
154,47.5605
154,47.5605
154,47.5605
155,47.5682
155,47.5682
155,47.5682
156,47.5704
156,47.5704
156,47.5704
157,47.7644
157,47.7644
157,47.7644
158,47.7107
158,47.7107
158,47.7107
159,47.8556
159,47.8556
159,47.8556
160,47.7549
160,47.7549
160,47.7549
161,47.5145
161,47.5145
161,47.5145
162,47.3286
162,47.3286
162,47.3286
163,47.9648
163,47.9648
163,47.9648
164,48.1908
164,48.1908
164,48.1908
165,48.276
165,48.276
165,48.276
166,48.4148
166,48.4148
166,48.4148
167,48.6028
167,48.6028
167,48.6028
168,47.5809
168,47.5809
168,47.5809
169,47.5588
169,47.5588
169,47.5588
170,47.4711
170,47.4711
170,47.4711
171,47.573
171,47.573
171,47.573
172,47.7168
172,47.7168
172,47.7168
173,47.809
173,47.809
173,47.809
174,47.7084
174,47.7084
174,47.7084
175,48.1452
175,48.1452
175,48.1452
176,48.1815
176,48.1815
176,48.1815
177,47.7416
177,47.7416
177,47.7416
178,47.8491
178,47.8491
178,47.8491
179,47.7532
179,47.7532
179,47.7532
180,47.6592
180,47.6592
180,47.6592
181,47.5177
181,47.5177
181,47.5177
182,47.5228
182,47.5228
182,47.5228
183,47.476
183,47.476
183,47.476
184,47.7194
184,47.7194
184,47.7194
185,47.713
185,47.713
185,47.713
186,47.8078
186,47.8078
186,47.8078
187,47.853
187,47.853
187,47.853
188,47.6574
188,47.6574
188,47.6574
189,47.4205
189,47.4205
189,47.4205
190,47.622
190,47.622
190,47.622
191,47.9092
191,47.9092
