,time,basecase,case1_ptg,case1_pth
0,0,20.249051,20.24908306,20.24908306
1,900,24.88590364,24.90314374,24.90314374
2,1800,24.8418804,24.83779929,24.83779929
3,2700,24.81265008,24.80685245,24.80685245
4,3600,23.24964707,23.24575926,23.24575926
5,4500,22.95776972,22.958193,22.958193
6,5400,22.94798309,22.94432336,22.94432336
7,6300,22.94105511,22.9391624,22.9391624
8,7200,20.62791063,20.62659661,20.62659661
9,8100,19.52418294,19.53650857,19.53650857
10,9000,19.52435804,19.51745855,19.51745855
11,9900,19.52468603,19.522903,19.522903
12,10800,17.18317332,17.18228584,17.18228584
13,11700,15.82682821,15.84295767,15.84295767
14,12600,15.83034105,15.82212731,15.82212731
15,13500,15.83307912,15.83119476,15.83119476
16,14400,13.09827461,13.09735368,13.09735368
17,15300,12.29564569,12.30503485,12.30503485
18,16200,12.29870607,12.29357282,12.29357282
19,17100,12.30102099,12.29975393,12.29975393
20,18000,11.13262804,11.13201036,11.13201036
21,18900,9.286131802,9.309425204,9.309425204
22,19800,9.2918019,9.28063603,9.28063603
23,20700,9.296096954,9.293720381,9.293720381
24,21600,9.048376,9.047317823,9.047317823
25,22500,8.52991585,8.5358315,8.5358315
26,23400,8.532900268,8.529218786,8.529218786
27,24300,8.535104327,8.534094694,8.534094694
28,25200,8.255476309,8.254956801,8.254956801
29,26100,12.51277973,12.45985945,12.45985945
30,27000,12.50263848,12.52670219,12.52670219
31,27900,12.49464762,12.49938244,12.49938244
32,28800,12.34096056,12.3430019,12.3430019
33,29700,13.98718643,13.96919649,13.96919649
34,30600,13.98020742,13.99062962,13.99062962
35,31500,13.97486966,13.97759746,13.97759746
36,32400,8.432481648,8.433927932,8.433927932
37,33300,8.707728797,8.705535289,8.705535289
38,34200,8.705108498,8.707440285,8.707440285
39,35100,8.703172168,8.704047927,8.704047927
40,36000,-0.923399727,0.04413806,0.044130481
41,36900,-2.031243611,-0.337605865,0.044130098
42,37800,-2.02927874,-0.337908279,0.044130099
43,38700,-2.027651955,-0.337908185,0.044130099
44,39600,-30.43374603,-28.74516539,-24.7896673
45,40500,-32.33780917,-30.30662022,-25.13227613
46,41400,-32.33247846,-30.30703494,-25.12652919
47,42300,-32.32834409,-30.30703471,-25.12239471
48,43200,-57.9122276,-55.893887,-50.70626606
49,44100,-58.7141278,-56.55073668,-50.85131668
50,45000,-58.71055169,-56.55089558,-50.84758168
51,45900,-58.70786536,-56.55089562,-50.84489531
52,46800,-57.34329504,-55.18825675,-49.48032472
53,47700,-58.66571955,-56.26677668,-49.72422942
54,48600,-58.66129057,-56.26699777,-49.71957935
55,49500,-58.65794166,-56.26699782,-49.7162304
56,50400,-49.25292905,-46.86439714,-40.311219
57,51300,-49.25119453,-46.86439714,-40.30948447
58,52200,-49.24994682,-46.86439714,-40.30823676
59,53100,-49.24904947,-46.86439714,-40.30733942
60,54000,-27.8355582,-25.45156357,-18.89386328
61,54900,-26.77763075,-24.59039415,-18.69710539
62,55800,-26.78005547,-24.59019255,-18.69973171
63,56700,-26.78193987,-24.59019251,-18.70161616
64,57600,1.519117581,0.581255905,0.581255905
65,58500,2.588612862,2.611106604,2.611106604
66,59400,2.585168861,2.479709855,2.479709855
67,60300,2.582533646,2.486838311,2.486838311
68,61200,11.59213019,11.52641477,11.52641477
69,62100,13.22112395,13.15380177,13.15380177
70,63000,13.21607935,13.19166903,13.19166903
71,63900,13.21216275,13.18994836,13.18994836
72,64800,13.89801008,13.88165037,13.88165037
73,65700,14.4460888,14.42798354,14.42798354
74,66600,14.44330454,14.43830012,14.43830012
75,67500,14.44120062,14.43610986,14.43610986
76,68400,15.26148703,15.25747147,15.25747147
77,69300,15.53670189,15.53060281,15.53060281
78,70200,15.53526037,15.53481242,15.53481242
79,71100,15.53417059,15.53306832,15.53306832
80,72000,16.72923704,16.72838537,16.72838537
81,72900,17.28378,17.27655519,17.27655519
82,73800,17.28205166,17.28470737,17.28470737
83,74700,17.28069182,17.281026,17.281026
84,75600,20.78844228,20.7885186,20.7885186
85,76500,21.3462167,21.33968762,21.33968762
86,77400,21.34439888,21.34754386,21.34754386
87,78300,21.342967,21.34364879,21.34364879
88,79200,25.13246229,25.13280848,25.13280848
89,80100,25.41223289,25.40920332,25.40920332
90,81000,25.41105183,25.41280289,25.41280289
91,81900,25.41013872,25.41061355,25.41061355
92,82800,27.85893226,27.85916911,27.85916911
93,83700,28.13981594,28.13666702,28.13666702
94,84600,28.13882819,28.14048174,28.14048174
95,85500,28.13805118,28.1384459,28.1384459
96,86400,88.65578518,88.65605333,88.65605333
